DeployID,Shark ID,Prg No.,Latitude,Longitude,Loc. quality,Loc. date,Loc. type,Altitude,Pass,Sat.,Mote Id,Frequency,Msg Date,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
,176750,6328,,,,,,,0,NP,,401650000,7-27-18 23:01,1,1,0,-132,401650000,,,,,,,,,,,,242,125,136,43,120,0,85,10,52,107,155,121,0,227,235,15,16,0,0,,,,,,,,,,,,,
,176750,6328,,,,,,,0,NN,,401650000,8-2-18 14:33,1,1,0,-131,401650000,,,,,,,,,,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,,,,,,,0,MB,,401650000,8-2-18 14:54,1,1,0,-131,401650000,,,,,,,,,,,,77,247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,,,,,,,0,NP,,401650000,8-2-18 18:22,1,1,0,-132,401650000,,,,,,,,,,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,52.09686,-18.56774,A,8-2-18 23:40,Argos,0,407,MA,,401677346.1,8-2-18 23:36,1,3,0,-127,401677346.1,-18.56774,52.09686,-69.77233,42.22084,0,0,0,0,0,173,1777,84,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,52.09686,-18.56774,A,8-2-18 23:40,Argos,0,407,MA,,401677346.1,8-2-18 23:42,1,3,0,-127,401677346.1,-18.56774,52.09686,-69.77233,42.22084,0,0,0,0,0,173,1777,103,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,52.09686,-18.56774,A,8-2-18 23:40,Argos,0,407,MA,,401677346.1,8-2-18 23:43,1,3,0,-127,401677346.1,-18.56774,52.09686,-69.77233,42.22084,0,0,0,0,0,173,1777,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.21174,-69.76559,2,8-3-18 0:34,Argos,0,232,SR,,401677469.5,8-3-18 0:32,1,4,0,-131,401677469.5,-69.76559,42.21174,-69.76559,42.21174,58,3,352,1113,111,147,941,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.21174,-69.76559,2,8-3-18 0:34,Argos,0,232,SR,,401677469.5,8-3-18 0:33,1,4,0,-131,401677469.5,-69.76559,42.21174,-69.76559,42.21174,58,3,352,1113,111,147,941,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.21174,-69.76559,2,8-3-18 0:34,Argos,0,232,SR,,401677469.5,8-3-18 0:35,1,4,0,-131,401677469.5,-69.76559,42.21174,-69.76559,42.21174,58,3,352,1113,111,147,941,65,180,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.21174,-69.76559,2,8-3-18 0:34,Argos,0,232,SR,,401677469.5,8-3-18 0:36,1,4,0,-131,401677469.5,-69.76559,42.21174,-69.76559,42.21174,58,3,352,1113,111,147,941,90,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.21258,-69.76631,B,8-3-18 0:43,Argos,0,29,MB,,401677473.6,8-3-18 0:43,1,2,0,-131,401677473.6,-69.76631,42.21258,-69.76631,42.21258,6,3,555,665,462,132,1534,75,182,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.21258,-69.76631,B,8-3-18 0:43,Argos,0,29,MB,,401677473.6,8-3-18 0:43,1,2,0,-131,401677473.6,-69.76631,42.21258,-69.76631,42.21258,6,3,555,665,462,132,1534,81,102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,,,,,,,0,NN,,401650000,8-4-18 22:16,1,1,0,-133,401650000,,,,,,,,,,,,68,218,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.36113,-69.61944,B,8-4-18 23:20,Argos,0,29,NK,,401677501.8,8-4-18 23:20,1,2,0,-131,401677501.8,-69.61944,42.36113,-69.61944,42.36113,0,3,6019,32331,1120,108,13782,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.36113,-69.61944,B,8-4-18 23:20,Argos,0,29,NK,,401677501.8,8-4-18 23:20,1,2,0,-131,401677501.8,-69.61944,42.36113,-69.61944,42.36113,0,3,6019,32331,1120,108,13782,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,,,,,,,0,MA,,401650000,8-5-18 0:43,1,1,0,-132,401650000,,,,,,,,,,,,66,212,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.19163,-69.2938,B,8-5-18 1:10,Argos,0,92,SR,,401677472.8,8-5-18 1:09,1,2,0,-135,401677472.8,-69.2938,42.19163,-69.2938,42.19163,0,3,2963,13879,632,4,6327,98,136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.19163,-69.2938,B,8-5-18 1:10,Argos,0,92,SR,,401677472.8,8-5-18 1:11,1,2,0,-135,401677472.8,-69.2938,42.19163,-69.2938,42.19163,0,3,2963,13879,632,4,6327,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.22635,-69.29816,3,8-5-18 1:35,Argos,0,364,NN,,401677490.5,8-5-18 1:32,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.22635,-69.29816,3,8-5-18 1:35,Argos,0,364,NN,,401677490.5,8-5-18 1:33,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,77,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.23238,-69.26292,0,8-5-18 1:35,Argos,0,241,MB,,401677488,8-5-18 1:34,1,5,0,-128,401677488,-69.26292,42.23238,-69.26292,42.23238,56,3,1898,40196,89,80,1361,103,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.23238,-69.26292,0,8-5-18 1:35,Argos,0,241,MB,,401677488,8-5-18 1:35,1,5,0,-128,401677488,-69.26292,42.23238,-69.26292,42.23238,56,3,1898,40196,89,80,1361,22,91,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.22635,-69.29816,3,8-5-18 1:35,Argos,0,364,NN,,401677490.5,8-5-18 1:35,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,22,107,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.23238,-69.26292,0,8-5-18 1:35,Argos,0,241,MB,,401677488,8-5-18 1:36,1,5,0,-128,401677488,-69.26292,42.23238,-69.26292,42.23238,56,3,1898,40196,89,80,1361,72,214,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.23238,-69.26292,0,8-5-18 1:35,Argos,0,241,MB,,401677488,8-5-18 1:36,1,5,0,-128,401677488,-69.26292,42.23238,-69.26292,42.23238,56,3,1898,40196,89,80,1361,86,211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.22635,-69.29816,3,8-5-18 1:35,Argos,0,364,NN,,401677490.5,8-5-18 1:36,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,86,211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.23238,-69.26292,0,8-5-18 1:35,Argos,0,241,MB,,401677488,8-5-18 1:38,1,5,0,-128,401677488,-69.26292,42.23238,-69.26292,42.23238,56,3,1898,40196,89,80,1361,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.22635,-69.29816,3,8-5-18 1:35,Argos,0,364,NN,,401677490.5,8-5-18 1:38,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176750,6328,42.22635,-69.29816,3,8-5-18 1:35,Argos,0,364,NN,,401677490.5,8-5-18 1:38,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,22,73,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
