SpeciesCode,SPOT PTT,TagType,TagDay,TagMonth,TagYear,TagTime,TagLat,TagLong,TL_cm,Sex,Maturity,OcearchName,Species,,,
,,,,,,,,,,,,,,,,
BSH,106744,SPOT,27,8,2016,,41.40433333,-69.29866667,277,M,adult,Don,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,106745,SPOT,28,8,2016,13:33,41.5205,-69.4275,270,M,adult,Vader,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,106746,SPOT,28,8,2016,12:33,41.53666667,-69.41883333,262,M,adult,Ciona,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,106747,SPOT,18,10,2016,,41.46666667,-69.33333333,244,M,adult,Cubswin,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,106748,SPOT,27,8,2016,12:33,41.09456667,-69.38033333,245,M,adult,Mahkato,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141261,SPOT,13,10,2015,14:45,41.32126667,-69.27583333,254,M,adult,Johnny,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141262,SPOT,28,8,2016,15:27,41.53533333,-69.4195,220.5,M,adult,Warne,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141263,SPOT,25,8,2016,13:21,41.487,-69.326,248,M,adult,Machaca,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141264,SPOT,21,10,2015,16:16,41.58733333,-69.44666667,254,M,adult,Roland,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141265,SPOT,27,8,2016,12:00,41.09456667,-69.38033333,241,M,adult,Sawtooth,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141266,SPOT,10,9,2016,12:20,41.75,-69.83333333,254,M,adult,Buzz,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141268,SPOT,13,10,2015,16:14,41.575,-69.42263333,267,M,adult,Larry,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,141270,SPOT,21,10,2015,17:50,41.59716667,-69.44483333,274,M,adult,Thomas,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,165291,SPOT,3,11,2017,,41.35,-69.36666667,239(FL),M,mature,Merlin,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,165292,SPOT,3,11,2017,,41.48333333,-69.33333333,226(FL),M,mature,Seamus,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,165294,SPOT,3,11,2017,,41.43333333,-69.38333333,241(FL),M,mature,Duke,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,165927,SPOT,18,10,2016,,41.46666667,-69.33333333,312,M,adult,MacAttack,Prionace glauca,,,
,,,,,,,,,,,,,,,,
BSH,165928,SPOT,18,10,2016,,41.46666667,-69.33333333,290,M,adult,Triton,Prionace glauca,,,
,,,,,,,,,,,,,,,,
MKO,141267,SPOT,15,10,2015,15:45,41.63681667,-69.70575,234,M,adult,Oscar,Isurus oxyrinchus,,,
,,,,,,,,,,,,,,,,
MKO,165290,SPOT,3,11,2017,,41.35,-69.35,208(FL),M,mature,Yinzer,Isurus oxyrinchus,,,
,,,,,,,,,,,,,,,,
MKO,165293,SPOT,1,11,2017,,41.80286667,-69.56995,185(FL),M,mature,Errol Finn,Isurus oxyrinchus,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Name,Species
,,,,,,,,,,,,,,,White Shark,Carcharodon carcharias
,,,,,,,,,,,,,,,Tiger Shark ,Galeocerdo cuvier
,,,,,,,,,,,,,,,Bull Shark,Carcharhinus leucas
,,,,,,,,,,,,,,,Mako Shark,Isurus oxyrinchus
,,,,,,,,,,,,,,,Blue Shark,Prionace glauca
,,,,,,,,,,,,,,,Silky Shark,Carcharhinus falciformis
,,,,,,,,,,,,,,,Blacktip Shark,Carcharhinus limbatus
,,,,,,,,,,,,,,,Hammerhead Shark,Sphyrna
,,,,,,,,,,,,,,,Green Sea Turtle,Chelonia mydas
,,,,,,,,,,,,,,,Loggerhead Sea Turtle,Caretta caretta
,,,,,,,,,,,,,,,Guadalupe Fur Seals,Arctocephalus townsendi
,,,,,,,,,,,,,,,Whale Shark,Rhincodon Typus
,,,,,,,,,,,,,,,Olive Ridley Turtle,Lepidochelys olivacea
,,,,,,,,,,,,,,,Pilot Whale,Globicephala
,,,,,,,,,,,,,,,Dolphin,Delphinus capensis
,,,,,,,,,,,,,,,Harbor Seal,Phoca vitulina
