,shark_id,prg_no,lat,long,loc_quality,loc_date,loc_type,alt,pass,satellite,freq,msg_date,comp,msg,db_120_gt,best_level,delta_freq,long_1,late_sol_1,long_2,lat_sol_2,loc_idx,nopc,err_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,gdop,depth,depthChangeDownstream,depthChangeUpstream,bearing,timeStep,distanceStep
7,176750,6328,42.21174,-69.76559,2,2018-08-03 0:34:00,Argos,0,232,SR,401677469.5,8-3-18 0:32,1,4,0,-131,401677469.5,-69.76559,42.21174,-69.76559,42.21174,58,3,352,1113,111,147,941,-230.1332873,40.97239449,2.416061796,0,0 days 00:00:00.000000000,0
19,176750,6328,42.22635,-69.29816,3,2018-08-05 1:35:00,Argos,0,364,NN,401677490.5,8-5-18 1:32,1,6,0,-130,401677490.5,-69.29816,42.22635,-69.29816,42.22635,56,2,220,608,79,75,250,-210.6688,13.66969688,-12.70582508,103.2020919,2 days 01:01:00.000000000,52.05966815
21,176750,6328,42.23238,-69.26292,0,2018-08-05 1:35:00,Argos,0,241,MB,401677488,8-5-18 1:34,1,5,0,-128,401677488,-69.26292,42.23238,-69.26292,42.23238,56,3,1898,40196,89,80,1361,-203.9735414,4.200017147,-26.6324271,95.44462707,0 days 00:00:00.000000000,3.979929019
37,176750,6328,42.17643,-68.26119,0,2018-08-08 13:23:00,Argos,0,329,NN,401677479.8,8-8-18 13:23,1,4,0,-127,401677479.8,-68.26119,42.17643,-68.26119,42.17643,40,3,4196,75151,234,105,1213,-194.1352939,6.043764825,4.494555829,108.3645674,3 days 11:48:00.000000000,111.6862773
46,176750,6328,42.09855,-68.03666,0,2018-08-09 14:54:00,Argos,0,159,MA,401677478.2,8-9-18 14:53,1,5,0,-124,401677478.2,-68.03666,42.09855,-68.03666,42.09855,50,3,5200,98147,275,93,3037,-219.5823652,-7.287248964,14.60563491,124.597846,1 days 01:31:00.000000000,26.45552201
51,176750,6328,42.13153,-68.00633,0,2018-08-09 20:27:00,Argos,0,324,NP,401677481.3,8-9-18 20:24,1,5,0,-127,401677481.3,-68.00633,42.13153,-68.00633,42.13153,58,3,1660,40784,67,86,2202,-230.8466831,5.15183583,9.263103161,58.11968401,0 days 05:33:00.000000000,4.98781358
58,176750,6328,42.08878,-67.94891,2,2018-08-10 0:12:00,Argos,0,173,SR,401677488.5,8-10-18 0:10,1,4,0,-130,401677488.5,-67.94891,42.08878,-67.94891,42.08878,58,3,472,2836,78,96,1296,-204.2662273,6.915459664,34.27535584,142.2016245,0 days 03:45:00.000000000,7.96899518
70,176750,6328,42.37687,-67.96824,2,2018-08-11 15:52:00,Argos,0,506,MA,401677483,8-11-18 15:44,1,6,0,-122,401677483,-67.96824,42.37687,-67.96824,42.37687,58,3,395,593,263,84,322,-171.7379834,-15.67350683,13.7837796,11.70080832,1 days 15:40:00.000000000,32.14225689
92,176750,6328,42.34061,-68.13517,1,2018-08-13 22:51:00,Argos,0,299,NK,401677485.3,8-13-18 22:48,1,4,0,-124,401677485.3,-68.13517,42.34061,-68.13517,42.34061,58,3,612,5250,71,73,522,-190.4558266,-4.86146389,-20.54356514,-86.6526382,2 days 06:59:00.000000000,19.01597031
105,176750,6328,42.3493,-68.34996,2,2018-08-14 13:10:00,Argos,0,333,MA,401677485.5,8-14-18 13:05,1,5,0,-123,401677485.5,-68.34996,42.3493,-68.34996,42.3493,58,3,383,954,153,40,594,-207.9998992,15.25300195,-17.68011585,-72.1382152,0 days 14:19:00.000000000,23.92996063
119,176750,6328,42.42146,-68.40607,2,2018-08-16 19:02:00,Argos,0,399,NP,401677489.3,8-16-18 19:01,1,6,0,-127,401677489.3,-68.40607,42.42146,-68.40607,42.42146,58,3,265,1406,50,89,497,-211.3923439,34.57281885,-19.77199588,-22.38450249,2 days 05:52:00.000000000,10.17551363
125,176750,6328,42.24823,-68.40963,1,2018-08-17 13:05:00,Argos,0,293,NK,401677488.4,8-17-18 13:03,1,9,0,-127,401677488.4,-68.40963,42.24823,-68.40963,42.24823,50,3,514,3509,75,103,855,-195.4664,20.85861415,-0.254464478,-163.3387132,0 days 18:03:00.000000000,19.28801661
133,176750,6328,42.24741,-68.38564,1,2018-08-17 13:15:00,Argos,0,95,NN,401677479.2,8-17-18 13:14,1,4,0,-126,401677479.2,-68.38564,42.24741,-68.38564,42.24741,50,3,843,6599,107,104,479,-195.4675074,31.39415027,-1.880329159,107.3990753,0 days 00:10:00.000000000,2.672123815
140,176750,6328,42.2595,-68.41264,2,2018-08-17 13:46:00,Argos,0,458,MA,401677486.5,8-17-18 13:40,1,6,0,-126,401677486.5,-68.41264,42.2595,-68.41264,42.2595,58,2,352,1058,117,123,306,-198.089312,27.13740734,-1.384753461,-50.42988094,0 days 00:31:00.000000000,3.293203109
142,176750,6328,42.25927,-68.38212,1,2018-08-17 13:46:00,Argos,0,116,MA,401677493.7,8-17-18 13:46,1,4,0,-126,401677493.7,-68.38212,42.25927,-68.38212,42.25927,57,2,1017,7828,132,92,1214,-199.2571086,34.83905056,-5.648337261,105.8749978,0 days 00:00:00.000000000,3.397579584
154,176750,6328,42.2567,-68.30064,2,2018-08-18 1:00:00,Argos,0,313,SR,401677492.1,8-18-18 1:00,1,5,0,-132,401677492.1,-68.30064,42.2567,-68.30064,42.2567,66,3,352,1408,88,72,944,-201.2289632,10.47076868,-19.01606664,107.2588256,0 days 11:14:00.000000000,9.074855581
156,176750,6328,42.262,-68.28123,1,2018-08-18 1:02:00,Argos,0,76,MA,401677487.3,8-18-18 1:02,1,2,0,-125,401677487.3,-68.28123,42.262,-68.28123,42.262,56,3,1359,2098,879,73,772,-198.670344,1.204227189,-20.9385056,90.20321114,0 days 00:02:00.000000000,2.239821794
166,176750,6328,42.25714,-68.44117,0,2018-08-18 14:20:00,Argos,0,29,MB,401677484.3,8-18-18 14:20,1,2,0,-133,401677484.3,-68.44117,42.25714,-68.44117,42.25714,58,3,3590,110047,117,97,2570,-192.5313326,13.77561432,9.943109349,-76.25763248,0 days 13:18:00.000000000,17.81272141
171,176750,6328,42.2645,-68.45612,2,2018-08-18 14:41:00,Argos,0,348,NN,401677492.8,8-18-18 14:39,1,7,0,-131,401677492.8,-68.45612,42.2645,-68.45612,42.2645,56,2,255,582,111,74,366,-185.415864,9.67771553,17.20651508,-48.35443758,0 days 00:21:00.000000000,1.854978582
178,176750,6328,42.2682,-68.45833,2,2018-08-18 14:59:00,Argos,0,665,MA,401677489,8-18-18 14:58,1,10,3,-118,401677489,-68.45833,42.2682,-68.45833,42.2682,56,3,251,759,82,100,177,-184.1403816,10.88718923,18.61543494,-15.41824812,0 days 00:18:00.000000000,0.479762906
191,176750,6328,42.34024,-68.72373,1,2018-08-19 16:22:00,Argos,0,258,MA,401677480.4,8-19-18 16:19,1,4,0,-129,401677480.4,-68.72373,42.34024,-68.72373,42.34024,58,3,1058,4985,224,76,1354,-194.7809862,-16.08178227,-21.24372431,-59.38184731,1 days 01:23:00.000000000,30.61335929
204,176750,6328,41.96031,-68.85634,2,2018-08-21 14:08:00,Argos,0,0,NN,401677479.8,8-21-18 14:08,1,1,0,-132,401677479.8,-68.85634,41.96031,-68.85634,41.96031,50,3,268,447,160,121,256,-135.2864,3.922936659,17.06106898,-145.3922188,1 days 21:46:00.000000000,44.79601775
222,176750,6328,42.1036,-68.46945,0,2018-08-22 22:33:00,Argos,0,174,SR,401677494.3,8-22-18 22:31,1,5,0,-127,401677494.3,-68.46945,42.1036,-68.46945,42.1036,58,3,1910,26038,140,108,2264,-176.796928,-11.06199121,10.54487679,84.91175818,1 days 08:25:00.000000000,45.92750309
233,176750,6328,41.831,-68.80617,0,2018-08-24 14:42:00,Argos,0,148,MA,401677495.7,8-24-18 14:41,1,4,0,-123,401677495.7,-68.80617,41.831,-68.80617,41.831,48,3,4507,76144,266,104,1454,-167.171428,8.425831788,13.34504021,-113.6038012,1 days 16:09:00.000000000,48.22748762
247,176750,6328,41.79505,-68.62424,0,2018-08-25 1:05:00,Argos,0,224,NN,401677494,8-25-18 1:03,1,4,0,-127,401677494,-68.62424,41.79505,-68.62424,41.79505,56,3,1514,13081,175,86,1235,-168.297,3.384736258,9.519416631,116.3979022,0 days 10:23:00.000000000,20.64404138
263,176750,6328,42.11044,-68.35493,3,2018-08-26 18:43:00,Argos,0,356,NP,401677499.9,8-26-18 18:43,1,12,0,-131,401677499.9,-68.35493,42.11044,-68.35493,42.11044,58,3,165,255,106,97,179,-184.5936891,9.589219567,22.97553808,55.76244046,1 days 17:38:00.000000000,46.16739764
