,active,cnt_inactive_pings,description,dist_24_hours,dist_72_hours,dist_total,gender,id,images,isMobile,is_alive,last_updated,latestPing,latest_ping_datetime,length,name,pingAge,pingCriteria,pings,platform,profile_url,species,species_group,species_icons,species_id,stageOfLife,tagDate,tagIdNumber,tagLocation,videos,weight,zping
0,1,0,,0.0,0.0,2354.16,Male,379,"[{'id': '918', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/379/h0TFhA_general-tiger.jpg', 'is_primary': True, 'encrypted_name': ''}]",False,1,,,2020-03-13T08:54:26Z,11 ft 4 in.,Zake,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '100537', 'active': '1', 'datetime': '13 March 2020 5:54:26 PM', 'tz_datetime': '13 March 2020 5:54:26 PM +0900', 'latitude': '-19.04008', 'longitude': '148.56665'}]",,,Tiger Shark (Galeocerdo cuvier),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",7,Adult,11 December 2019,178941,"Whitsunday Islands, Australia",[],661 lbs,
1,1,0,<p>Katya was tagged by researchers from BioPixel Oceans Foundation.</p>,0.0,0.0,2885.3,Female,384,"[{'filename': 'https://ocearch-prod.s3.amazonaws.com/media/species/carcharhinus-leucas_download.jpeg', 'is_primary': True}]",False,1,,,2020-03-23T20:07:45Z,10 ft 10 in.,Katya,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '101203', 'active': '1', 'datetime': '24 March 2020 5:07:45 AM', 'tz_datetime': '24 March 2020 5:07:45 AM +0900', 'latitude': '-11.48089', 'longitude': '143.9702'}]",,,Bull Shark (Carcharhinus leucas),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",3,Adult,7 February 2020,178952,"Whitsunday Islands, Australia",[],,
2,1,0,"<p>Mario was tagged by collaborating scientists at&nbsp;Saving Our Sharks, Texas State Aquarium, INAPESCA andMote Marine. Researchers will be looking for movement patterns, connectivity, feeding &amp; breeding areas.</p>",0.0,0.0,779.19,Male,357,"[{'filename': 'https://ocearch-prod.s3.amazonaws.com/media/species/galeocerdo-cuvier_tigershark-tracker-image.jpg', 'is_primary': True}]",False,1,,,2020-04-09T16:05:22Z,8 ft 4 in.,Mario,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '102039', 'active': '1', 'datetime': '10 April 2020 1:05:22 AM', 'tz_datetime': '10 April 2020 1:05:22 AM +0900', 'latitude': '18.97049', 'longitude': '-86.76052'}]",,,Tiger Shark (Galeocerdo cuvier),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",7,Adult,1 September 2019,178789,"Isla Mujeres, Mexico",[],498 lbs,
3,1,0,,0.0,0.0,3620.41,Female,375,"[{'id': '926', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/375/AigW42_screen-shot-2019-12-17-at-2_13_08-pm.jpg', 'is_primary': True, 'encrypted_name': ''}]",False,1,,,2020-04-29T12:24:27Z,10 ft 11 in.,Alara,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '103005', 'active': '1', 'datetime': '29 April 2020 9:24:27 PM', 'tz_datetime': '29 April 2020 9:24:27 PM +0900', 'latitude': '-20.22442', 'longitude': '149.06987'}]",,,Tiger Shark (Galeocerdo cuvier),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",7,Adult,13 September 2019,175014,"Whitsunday Islands, Australia",[],590,
4,1,0,"<p>Miss Costa was named for our long time friends and partner Costa Sunglasses. Costa has done so much to enable our work on the water and we have been waiting to name a female white shark in honor of our partnership with them. We can&rsquo;t wait to see where she will go!</p>
",0.0,6.86,14822.75,Female,224,"[{'id': '654', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/224/tLq3k8_hgjnog_img_2189.jpg', 'is_primary': True, 'encrypted_name': ''}, {'id': '651', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/224/f7sL02_jwnizx_img_2231.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '652', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/224/TGkUbN_qrun2t_img_2253.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '653', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/224/vYTtRv_zfgywl_img_2270.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '655', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/224/VvRzQq_swll4j_img_2192.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '656', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/224/lc2SKO_b4iftn_dji_0029.jpg', 'is_primary': False, 'encrypted_name': ''}]",False,1,1559667784.0,,2020-05-05T11:24:00Z,12 ft 5 in.,Miss Costa,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '103291', 'active': '1', 'datetime': '5 May 2020 8:24:00 PM', 'tz_datetime': '5 May 2020 8:24:00 PM +0900', 'latitude': '33.92271', 'longitude': '-72.52779'}]",,,White Shark (Carcharodon carcharias),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",1,Sub-Adult,23 September 2016,163610,"Nantucket, MA",[],"1,668 lb",
5,1,0,"<p>Mission was named after&nbsp;Mission Bay,&nbsp;San Diego, where SeaWorld first began its conservation research. The research performed has led to groundbreaking marine reproductive science, as well as a tremendous amount of conservation over the years.&nbsp;</p>
",0.0,0.0,238.12,Male,249,"[{'id': '706', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/249/NKNvHs_ffbq9q_08172017_ocearch_montaukny_0297.jpg', 'is_primary': True, 'encrypted_name': ''}]",False,1,1559704505.0,,2018-04-05T10:03:50Z,5 ft 08 in.,Mission,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '65030', 'active': '1', 'datetime': '3 November 2017 12:55:09 PM', 'tz_datetime': '3 November 2017 12:55:09 PM +0900', 'latitude': '39.28982', 'longitude': '-74.22825'}]",,,White Shark (Carcharodon carcharias),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",1,Young of Year,17 August 2017,34269,"Montauk, NY",[],66.5 lb,
6,1,0,,0.0,0.0,2044.11,Female,4,"[{'id': '4', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/4/ZGTXvf_lteqir_albertina-921a2913.jpg', 'is_primary': True, 'encrypted_name': ''}, {'id': '3', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/4/7ipIBX_jd1hnb_albertina-921a2764.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '5', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/4/17bWmG_zbjegv_albertina-921a3115.jpg', 'is_primary': False, 'encrypted_name': ''}]",False,1,1531755227.0,,2014-06-27T07:33:40Z,11 ft 6 in. ,Albertina ,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '36771', 'active': '1', 'datetime': '27 June 2014 4:33:40 PM', 'tz_datetime': '27 June 2014 4:33:40 PM +0900', 'latitude': '-34.23627', 'longitude': '22.3721'}]",,,White Shark (Carcharodon carcharias),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",1,Sub-Adult,8 March 2012,117470,"Mossel Bay, South Africa",[],1110 lb,
7,1,0,,0.0,0.0,5077.12,Female,5,"[{'id': '201', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/1jkkjP_luohgn_screen-shot-2013-06-25-at-1_45_28-pm.png', 'is_primary': True, 'encrypted_name': ''}, {'id': '202', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/TSzg6C_e8rozk_screen-shot-2013-06-25-at-1_45_54-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '203', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/nMMjII_qkd3to_screen-shot-2013-06-25-at-1_46_28-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '204', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/9zRpcD_yigogk_screen-shot-2013-06-25-at-1_46_54-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '205', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/BVMpVu_hvunas_screen-shot-2013-06-25-at-7_34_56-am.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '206', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/Pziopi_edx8gf_screen-shot-2013-06-25-at-1_41_39-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '207', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/X23wmk_qwomad_screen-shot-2013-06-25-at-1_43_59-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '16', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/a5xrMC_m8ysrv_helen-body-921a3275.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '18', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/BCnpkt_rpvfib_helen-921a3471.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '19', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/5/m7EVdg_y2k299_helen-921a3483.jpg', 'is_primary': False, 'encrypted_name': ''}]",False,1,1531845952.0,,2017-01-05T14:22:39Z,10 ft 2 in.,Helen ,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '58165', 'active': '1', 'datetime': '5 January 2017 11:22:39 PM', 'tz_datetime': '5 January 2017 11:22:39 PM +0900', 'latitude': '-34.0766', 'longitude': '22.20604'}]",,,White Shark (Carcharodon carcharias),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",1,Sub-Adult,8 March 2012,117468,"Mossel Bay, South Africa",[],765 lb,
8,1,0,,0.0,0.0,17000.67,Female,9,"[{'id': '69', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/E8qG0n_iaoy4e_louise-underwater_mg_4324.jpg', 'is_primary': True, 'encrypted_name': ''}, {'id': '190', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/7pGlwE_p9oasg_screen-shot-2013-06-24-at-3_52_18-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '191', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/F12LMI_ekqgdt_screen-shot-2013-06-24-at-3_51_06-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '192', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/FVbngT_wy5fn1_screen-shot-2013-06-24-at-3_55_53-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '193', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/eUIa96_xuxnjg_screen-shot-2013-06-24-at-4_00_35-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '194', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/CUdoC4_3pqbk9_screen-shot-2013-06-24-at-4_03_54-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '195', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/xt4Xgs_h5ytew_screen-shot-2013-06-24-at-4_04_51-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '196', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/zXCdnJ_a2od7p_screen-shot-2013-06-24-at-4_06_29-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '198', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/2LdKah_0d7zof_screen-shot-2013-06-24-at-4_06_56-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '199', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/dZb98i_fswjst_screen-shot-2013-06-24-at-4_07_36-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '200', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/r5Xh55_tkk0xg_screen-shot-2013-06-24-at-4_08_09-pm.png', 'is_primary': False, 'encrypted_name': ''}, {'id': '71', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/Q9wYiS_bkxfkb_louise-dorsal-921a5477.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '70', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/QUBhav_z1oae5_louise-gill-921a5485.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '72', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/9/8zSTJV_2tttqz_louise-caudal-921a5493.jpg', 'is_primary': False, 'encrypted_name': ''}]",False,1,1531848449.0,,2015-03-06T14:16:11Z,11 ft 6 in. ,Louise,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '42937', 'active': '1', 'datetime': '6 March 2015 11:16:11 PM', 'tz_datetime': '6 March 2015 11:16:11 PM +0900', 'latitude': '-23.23008', 'longitude': '80.16272'}]",,,White Shark (Carcharodon carcharias),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",1,Sub-Adult,10 March 2012,117464,"Mossel Bay, South Africa",[],745 lb,
9,1,0,"<p>Jody named Marcella after his girlfriend.</p>
",0.0,0.0,3106.28,Female,21,"[{'id': '176', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/H1vOP2_f7zhnv__67c1060.jpg', 'is_primary': True, 'encrypted_name': ''}, {'id': '177', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/brFtR0_312fbq__67c1058.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '80', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/7OweUa_fzcrrt_marcella-dorsal_67c1002.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '77', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/21NjQy_mbrvim_marella-eye_67c0996.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '78', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/dmMnZ7_j0ajrq_marcella-body_67c1058.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '79', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/ZOqffy_nyu8c3_marcella-caudal_67c1013.jpg', 'is_primary': False, 'encrypted_name': ''}, {'id': '81', 'description': '', 'filename': 'https://ocearch-prod.s3.amazonaws.com/media/animal/21/AQ4FuD_eqjmuc_marcella-side_67c1011.jpg', 'is_primary': False, 'encrypted_name': ''}]",False,1,1531849514.0,,2013-06-07T18:59:13Z,11 ft 10 in.,Marcella,,"{'type': 'ping', 'interval': '30 year'}","[{'id': '20069', 'active': '1', 'datetime': '8 June 2013 3:59:13 AM', 'tz_datetime': '8 June 2013 3:59:13 AM +0900', 'latitude': '-34.14056', 'longitude': '22.11631999999997'}]",,,White Shark (Carcharodon carcharias),shark,"{'web': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/blue/guadalupe_fur_seals_34c0ac2.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/public/images/uploads/icon/guadalupe_fur_seals/web/red/guadalupe_fur_seals_ecfcbef.png'}, 'mobile': {'blue': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/blue.png', 'red': 'http://ec2-54-84-88-218.compute-1.amazonaws.com/tracker/images/mobile/red.png'}}",1,Sub-Adult,12 April 2012,117467,"Gansbaai, South Africa",[],1154 lb,
